release_date_raw,time,actual,forecast,previous
"Apr 01, 2026 (Mar)",10:00,,,55.8
"Mar 02, 2026 (Feb)",10:00,55.8,53.3,57.1
"Feb 02, 2026 (Jan)",10:00,57.1,,47.4
"Jan 05, 2026 (Dec)",10:00,47.7,,47.4
"Dec 01, 2025 (Nov)",10:00,47.4,,49.4
"Nov 03, 2025 (Oct)",10:00,49.4,,48.9
"Oct 01, 2025 (Sep)",10:00,48.9,50,51.4
"Sep 02, 2025 (Aug)",10:00,51.4,48,47.1
"Aug 01, 2025 (Jul)",10:00,47.1,48.7,46.4
"Jul 01, 2025 (Jun)",10:00,46.4,,47.6
"Jun 02, 2025 (May)",10:00,47.6,,47.2
"May 01, 2025 (Apr)",10:00,47.2,,45.2
"Apr 01, 2025 (Mar)",10:00,45.2,,48.6
"Mar 03, 2025 (Feb)",10:00,48.6,,55.1
"Feb 03, 2025 (Jan)",10:00,55.1,52,52.1
"Jan 03, 2025 (Dec)",10:00,52.5,,50.4
"Dec 02, 2024 (Nov)",10:00,50.4,,47.1
"Nov 01, 2024 (Oct)",10:00,47.1,47,46.1
"Oct 01, 2024 (Sep)",10:00,46.1,45,44.6
"Sep 03, 2024 (Aug)",10:00,44.6,,47.4
"Aug 01, 2024 (Jul)",10:00,47.4,49,49.3
"Jul 01, 2024 (Jun)",10:00,49.3,49,45.4
"Jun 03, 2024 (May)",10:00,45.4,49.4,49.1
"May 01, 2024 (Apr)",10:00,49.1,51,51.4
"Apr 01, 2024 (Mar)",10:00,51.4,49.8,49.2
"Mar 01, 2024 (Feb)",10:00,49.2,,52.5
"Feb 01, 2024 (Jan)",10:00,52.5,48.2,47
"Jan 03, 2024 (Dec)",10:00,47.1,49.1,48.3
"Dec 01, 2023 (Nov)",10:00,48.3,,45.5
"Nov 01, 2023 (Oct)",10:00,45.5,,49.2
"Oct 02, 2023 (Sep)",10:00,49.2,,46.8
"Sep 01, 2023 (Aug)",10:00,46.8,,47.3
"Aug 01, 2023 (Jul)",10:00,47.3,44,45.6
"Jul 03, 2023 (Jun)",10:00,45.6,44,42.6
"Jun 01, 2023 (May)",10:00,42.6,44.9,45.7
"May 01, 2023 (Apr)",10:00,45.7,45.5,44.3
"Apr 03, 2023 (Mar)",10:00,44.3,49,47
"Mar 01, 2023 (Feb)",10:00,47,,42.5
"Feb 01, 2023 (Jan)",10:00,42.5,,45.1
"Jan 04, 2023 (Dec)",10:00,45.2,,47.2
"Dec 01, 2022 (Nov)",10:00,47.2,,49.2
"Nov 01, 2022 (Oct)",10:00,49.2,,47.1
"Oct 03, 2022 (Sep)",10:00,47.1,,51.3
"Sep 01, 2022 (Aug)",10:00,51.3,,48
"Aug 01, 2022 (Jul)",10:00,48,,49.2
"Jul 01, 2022 (Jun)",10:00,49.2,,55.1
"Jun 01, 2022 (May)",10:00,55.1,,53.5
"May 02, 2022 (Apr)",10:00,53.5,,53.8
"Apr 01, 2022 (Mar)",10:00,53.8,,61.7
"Mar 01, 2022 (Feb)",10:00,61.7,,57.9
"Feb 01, 2022 (Jan)",10:00,57.9,,61
"Jan 04, 2022 (Dec)",10:00,60.4,,61.5
"Dec 01, 2021 (Nov)",10:00,61.5,,59.8
"Nov 01, 2021 (Oct)",10:00,59.8,,66.7
"Oct 01, 2021 (Sep)",10:00,66.7,,66.7
"Sep 01, 2021 (Aug)",10:00,66.7,,64.9
"Aug 02, 2021 (Jul)",10:00,64.9,,66
"Jul 01, 2021 (Jun)",10:00,66,,67
"Jun 01, 2021 (May)",10:00,67,,64.3
"May 03, 2021 (Apr)",10:00,64.3,,68
"Apr 01, 2021 (Mar)",10:00,68,,64.8
"Mar 01, 2021 (Feb)",10:00,64.8,,61.1
"Feb 01, 2021 (Jan)",10:00,61.1,,67.5
"Jan 05, 2021 (Dec)",10:00,67.9,,65.1
"Dec 01, 2020 (Nov)",10:00,65.1,,67.9
"Nov 02, 2020 (Oct)",10:00,67.9,,60.2
"Oct 01, 2020 (Sep)",10:00,60.2,,67.6
"Sep 01, 2020 (Aug)",10:00,67.6,,61.5
"Aug 03, 2020 (Jul)",10:00,61.5,,56.4
"Jul 01, 2020 (Jun)",10:00,56.4,,31.8
"Jun 01, 2020 (May)",10:00,31.8,,27.1
"May 01, 2020 (Apr)",10:00,27.1,,42.2
"Apr 01, 2020 (Mar)",10:00,42.2,,49.8
"Mar 02, 2020 (Feb)",10:00,49.8,,52
"Feb 03, 2020 (Jan)",10:00,52,,47.6
"Jan 03, 2020 (Dec)",10:00,46.8,,47.2
"Dec 02, 2019 (Nov)",10:00,47.2,,49.1
"Nov 01, 2019 (Oct)",10:00,49.1,,47.3
"Oct 01, 2019 (Sep)",10:00,47.3,,47.2
"Sep 03, 2019 (Aug)",10:00,47.2,,50.8
"Aug 01, 2019 (Jul)",10:00,50.8,,50
"Jul 01, 2019 (Jun)",10:00,50,52.5,52.7
"Jun 03, 2019 (May)",10:00,52.7,,51.7
"May 01, 2019 (Apr)",10:00,51.7,,57.4
"Apr 01, 2019 (Mar)",10:00,57.4,,55.5
"Mar 01, 2019 (Feb)",10:00,55.5,,58.2
"Feb 01, 2019 (Jan)",10:00,58.2,,51.3
"Jan 03, 2019 (Dec)",10:00,51.1,,62.1
"Dec 03, 2018 (Nov)",10:00,62.1,,57.4
"Nov 01, 2018 (Oct)",10:00,57.4,,61.8
"Oct 01, 2018 (Sep)",10:00,61.8,,65.1
"Sep 04, 2018 (Aug)",10:00,65.1,,60.2
"Aug 01, 2018 (Jul)",10:00,60.2,,63.5
"Jul 02, 2018 (Jun)",10:00,63.5,,63.7
"Jun 01, 2018 (May)",10:00,63.7,,61.2
"May 01, 2018 (Apr)",10:00,61.2,,61.9
"Apr 02, 2018 (Mar)",10:00,61.9,,64.2
"Mar 01, 2018 (Feb)",10:00,64.2,,65.4
"Feb 01, 2018 (Jan)",10:00,65.4,,67.4
"Jan 03, 2018 (Dec)",10:00,69.4,,64
"Dec 01, 2017 (Nov)",10:00,64,,63.4
"Nov 01, 2017 (Oct)",10:00,63.4,,64.6
"Oct 02, 2017 (Sep)",10:00,64.6,,60.3
"Sep 01, 2017 (Aug)",10:00,60.3,60,60.4
"Aug 01, 2017 (Jul)",10:00,60.4,,63.5
"Jul 03, 2017 (Jun)",10:00,63.5,,59.5
"Jun 01, 2017 (May)",10:00,59.5,,57.5
"May 01, 2017 (Apr)",10:00,57.5,,64.5
"Apr 03, 2017 (Mar)",10:00,64.5,,65.1
"Mar 01, 2017 (Feb)",10:00,65.1,,60.4
"Feb 01, 2017 (Jan)",10:00,60.4,,60.3
"Jan 03, 2017 (Dec)",10:00,60.2,,53
"Dec 01, 2016 (Nov)",10:00,53,,52.1
"Nov 01, 2016 (Oct)",10:00,52.1,,55.1
"Oct 03, 2016 (Sep)",10:00,55.1,,49.1
"Sep 01, 2016 (Aug)",10:00,49.1,,56.9
"Aug 01, 2016 (Jul)",10:00,56.9,,57
"Jul 01, 2016 (Jun)",10:00,57,,55.7
"Jun 01, 2016 (May)",10:00,55.7,,55.8
"May 02, 2016 (Apr)",10:00,55.8,,58.3
"Apr 01, 2016 (Mar)",10:00,58.3,,51.5
"Mar 01, 2016 (Feb)",10:00,51.5,,51.5
"Feb 01, 2016 (Jan)",10:00,51.5,,48.8
"Jan 04, 2016 (Dec)",10:00,49.2,,48.9
"Dec 01, 2015 (Nov)",10:00,48.9,,52.9
"Nov 02, 2015 (Oct)",10:00,52.9,,50.1
"Oct 01, 2015 (Sep)",10:00,50.1,,51.7
"Sep 01, 2015 (Aug)",10:00,51.7,,56.5
"Aug 03, 2015 (Jul)",9:25,56.5,,56
"Jul 01, 2015 (Jun)",10:00,56,,55.8
"Jun 01, 2015 (May)",10:00,55.8,,53.5
"May 01, 2015 (Apr)",10:00,53.5,,51.8
"Apr 01, 2015 (Mar)",10:00,51.8,,52.5
"Mar 02, 2015 (Feb)",10:00,52.5,,52.9
"Feb 02, 2015 (Jan)",10:00,52.9,,57.3
"Jan 02, 2015 (Dec)",10:00,57.3,,66
"Dec 01, 2014 (Nov)",10:00,66,,65.8
"Nov 03, 2014 (Oct)",10:00,65.8,,60
1-Oct-14,10:00,60,,66.7
"Sep 01, 2014 (Aug)",5:00,63.9,,62
"Aug 01, 2014 (Jul)",5:00,62,,59.1
"Jul 01, 2014 (Jun)",5:00,59.1,,58.7
"Jun 01, 2014 (May)",5:00,58.7,,56.2
"May 01, 2014 (Apr)",5:00,56.2,,56.4
"Apr 01, 2014 (Mar)",5:00,56.4,,56.1
"Mar 01, 2014 (Feb)",4:00,56.1,,52.8
"Feb 01, 2014 (Jan)",4:00,52.8,,64.9
"Jan 01, 2014 (Dec)",4:00,64.9,,60.2
"Dec 01, 2013 (Nov)",4:00,60.2,,58.9
