period_start_date,CP,realtime_start_date
1972-04-01,52.400,1972-08-18
1972-07-01,53.700,1972-11-17
1972-10-01,57.300,1973-03-15
1973-01-01,62.300,1973-05-17
1973-04-01,72.600,1973-08-17
1973-07-01,71.500,1973-11-16
1973-10-01,72.000,1974-03-21
1974-01-01,80.200,1974-05-17
1974-04-01,91.100,1974-08-22
1974-07-01,94.900,1974-11-15
1974-10-01,81.100,1975-03-20
1975-01-01,61.800,1975-05-20
1975-04-01,67.400,1975-08-21
1975-07-01,82.200,1975-11-20
1975-10-01,80.600,1976-03-19
1976-01-01,84.300,1976-05-20
1976-04-01,81.100,1976-08-19
1976-07-01,84.800,1976-11-18
1976-10-01,86.900,1977-03-21
1977-01-01,87.600,1977-05-19
1977-04-01,104.100,1977-08-19
1977-07-01,103.700,1977-11-17
1977-10-01,104.900,1978-03-20
1978-01-01,102.900,1978-05-18
1978-04-01,117.300,1978-08-18
1978-07-01,122.000,1978-11-21
1978-10-01,130.700,1979-03-20
1979-01-01,137.900,1979-05-18
1979-04-01,138.600,1979-08-17
1979-07-01,147.900,1979-11-20
1979-10-01,148.800,1980-03-19
1980-01-01,155.500,1980-05-20
1980-04-01,129.300,1980-08-19
1980-07-01,137.200,1980-11-19
1980-10-01,164.100,1981-03-18
1981-01-01,168.300,1981-05-19
1981-04-01,150.100,1981-08-19
1981-07-01,153.500,1981-11-19
1981-10-01,145.200,1982-03-19
1982-01-01,118.800,1982-05-19
1982-04-01,115.000,1982-08-19
1982-07-01,119.100,1982-11-19
1982-10-01,119.400,1983-03-21
1983-01-01,112.500,1983-05-19
1983-04-01,124.100,1983-08-19
1983-07-01,141.900,1983-11-22
1983-10-01,142.900,1984-03-20
1984-01-01,148.500,1984-05-18
1984-04-01,152.900,1984-08-20
1984-07-01,139.300,1984-11-20
1984-10-01,142.300,1985-03-21
1985-01-01,140.000,1985-05-21
1985-04-01,136.500,1985-08-20
1985-07-01,141.100,1985-12-20
1985-10-01,149.500,1986-03-19
1986-01-01,139.500,1986-05-20
1986-04-01,140.800,1986-08-19
1986-07-01,144.000,1986-11-19
1986-10-01,144.200,1987-03-18
1987-01-01,136.600,1987-05-22
1987-04-01,134.400,1987-08-21
1987-07-01,141.500,1987-11-24
1987-10-01,144.200,1988-03-23
