period_start_date,HOUST,realtime_start_date
1960-07-01,1173.0,1960-08-18
1960-08-01,1275.0,1960-09-19
1960-09-01,1077.0,1960-10-18
1960-10-01,1231.0,1960-11-17
1960-11-01,1235.0,1960-12-16
1960-12-01,990.0,1961-01-17
1961-01-01,1098.0,1961-02-16
1961-02-01,1154.0,1961-03-16
1961-03-01,1283.0,1961-04-14
1961-04-01,1233.0,1961-05-17
1961-05-01,1298.0,1961-06-16
1961-06-01,1374.0,1961-07-19
1961-07-01,1317.0,1961-08-18
1961-08-01,1317.0,1961-09-19
1961-09-01,1360.0,1961-10-17
1961-10-01,1442.0,1961-11-17
1961-11-01,1350.0,1961-12-18
1961-12-01,1306.0,1962-01-18
1962-01-01,1292.0,1962-02-16
1962-02-01,1126.0,1962-03-20
1962-03-01,1409.0,1962-04-17
1962-04-01,1542.0,1962-05-17
1962-05-01,1587.0,1962-06-18
1962-06-01,1389.0,1962-07-17
1962-07-01,1407.0,1962-08-17
1962-08-01,1521.0,1962-09-18
1962-09-01,1312.0,1962-10-19
1962-10-01,1497.0,1962-11-19
1962-11-01,1544.0,1962-12-19
1962-12-01,1499.0,1963-01-17
1963-01-01,1242.0,1963-02-19
1963-02-01,1280.0,1963-03-19
1963-03-01,1494.0,1963-04-17
1963-04-01,1627.0,1963-05-17
1963-05-01,1722.0,1963-06-18
1963-06-01,1586.0,1963-07-19
1963-07-01,1513.0,1963-08-20
1963-08-01,1513.0,1963-09-20
1963-09-01,1687.0,1963-10-17
1963-10-01,1876.0,1963-11-20
1963-11-01,1528.0,1963-12-18
1963-12-01,1597.0,1964-01-16
1964-01-01,1700.0,1964-02-18
1964-02-01,1643.0,1964-03-17
1964-03-01,1648.0,1964-04-17
1964-04-01,1558.0,1964-05-19
1964-05-01,1501.0,1964-06-18
1964-06-01,1577.0,1964-07-17
1964-07-01,1517.0,1964-08-19
1964-08-01,1402.0,1964-09-18
1964-09-01,1484.0,1964-10-19
1964-10-01,1600.0,1964-11-18
1964-11-01,1420.0,1964-12-17
1964-12-01,1541.0,1965-01-19
1965-01-01,1487.0,1965-02-18
1965-02-01,1422.0,1965-03-17
1965-03-01,1549.0,1965-04-19
1965-04-01,1548.0,1965-05-19
1965-05-01,1484.0,1965-06-18
1965-06-01,1531.0,1965-07-19
1965-07-01,1459.0,1965-08-18
1965-08-01,1402.0,1965-09-17
1965-09-01,1424.0,1965-10-19
1965-10-01,1402.0,1965-11-18
1965-11-01,1534.0,1965-12-17
1965-12-01,1746.0,1966-01-19
1966-01-01,1537.0,1966-02-17
1966-02-01,1318.0,1966-03-18
1966-03-01,1543.0,1966-04-18
1966-04-01,1495.0,1966-05-19
1966-05-01,1306.0,1966-06-20
1966-06-01,1288.0,1966-07-19
1966-07-01,1064.0,1966-08-18
1966-08-01,1057.0,1966-09-20
1966-09-01,1073.0,1966-10-18
1966-10-01,848.0,1966-11-17
1966-11-01,1000.0,1966-12-16
1966-12-01,1102.0,1967-01-16
1967-01-01,1243.0,1967-02-15
1967-02-01,1089.0,1967-03-15
1967-03-01,1171.0,1967-04-17
1967-04-01,1171.0,1967-05-16
1967-05-01,1310.0,1967-06-16
1967-06-01,1302.0,1967-07-18
1967-07-01,1360.0,1967-08-16
1967-08-01,1381.0,1967-09-18
1967-09-01,1457.0,1967-10-16
1967-10-01,1496.0,1967-11-16
1967-11-01,1556.0,1967-12-18
1967-12-01,1256.0,1968-01-17
1968-01-01,1445.0,1968-02-16
1968-02-01,1566.0,1968-03-15
1968-03-01,1476.0,1968-04-17
1968-04-01,1620.0,1968-05-17
1968-05-01,1331.0,1968-06-20
1968-06-01,1313.0,1968-07-17
1968-07-01,1539.0,1968-08-16
1968-08-01,1508.0,1968-09-17
1968-09-01,1598.0,1968-10-16
1968-10-01,1548.0,1968-11-18
1968-11-01,1677.0,1968-12-17
1968-12-01,1454.0,1969-01-16
1969-01-01,1816.0,1969-02-17
1969-02-01,1700.0,1969-03-17
1969-03-01,1539.0,1969-04-15
1969-04-01,1543.0,1969-05-15
1969-05-01,1509.0,1969-06-17
1969-06-01,1446.0,1969-07-16
1969-07-01,1336.0,1969-08-15
1969-08-01,1336.0,1969-09-16
1969-09-01,1518.0,1969-10-16
1969-10-01,1342.0,1969-11-18
1969-11-01,1287.0,1969-12-17
1969-12-01,1245.0,1970-01-16
1970-01-01,1166.0,1970-02-17
1970-02-01,1321.0,1970-03-16
1970-03-01,1383.0,1970-04-16
1970-04-01,1181.0,1970-05-15
1970-05-01,1200.0,1970-06-16
1970-06-01,1358.0,1970-07-16
1970-07-01,1585.0,1970-08-17
1970-08-01,1431.0,1970-09-17
1970-09-01,1504.0,1970-10-16
1970-10-01,1550.0,1970-11-17
1970-11-01,1692.0,1970-12-17
1970-12-01,1987.0,1971-01-18
1971-01-01,1701.0,1971-02-18
1971-02-01,1715.0,1971-03-17
1971-03-01,1918.0,1971-04-16
1971-04-01,1903.0,1971-05-18
1971-05-01,1931.0,1971-06-16
1971-06-01,1982.0,1971-07-19
1971-07-01,2218.0,1971-08-17
1971-08-01,2228.0,1971-09-17
1971-09-01,1958.0,1971-10-18
1971-10-01,2050.0,1971-11-16
1971-11-01,2316.0,1971-12-16
1971-12-01,2517.0,1972-01-18
1972-01-01,2549.0,1972-02-16
1972-02-01,2678.0,1972-03-17
1972-03-01,2359.0,1972-04-18
1972-04-01,2115.0,1972-05-16
1972-05-01,2322.0,1972-06-16
1972-06-01,2298.0,1972-07-19
1972-07-01,2181.0,1972-08-16
1972-08-01,2457.0,1972-09-19
1972-09-01,2352.0,1972-10-18
1972-10-01,2410.0,1972-11-16
1972-11-01,2445.0,1972-12-18
1972-12-01,2392.0,1973-01-17
1973-01-01,2468.0,1973-02-16
1973-02-01,2444.0,1973-03-16
1973-03-01,2259.0,1973-04-17
1973-04-01,2103.0,1973-05-16
1973-05-01,2430.0,1973-06-18
1973-06-01,2119.0,1973-07-18
1973-07-01,2176.0,1973-08-16
1973-08-01,2045.0,1973-09-19
1973-09-01,1763.0,1973-10-17
1973-10-01,1613.0,1973-11-16
1973-11-01,1698.0,1973-12-18
1973-12-01,1355.0,1974-01-17
1974-01-01,1486.0,1974-02-19
1974-02-01,1800.0,1974-03-18
1974-03-01,1460.0,1974-04-19
1974-04-01,1626.0,1974-05-16
1974-05-01,1450.0,1974-06-18
1974-06-01,1595.0,1974-07-17
1974-07-01,1335.0,1974-08-16
1974-08-01,1126.0,1974-09-18
1974-09-01,1120.0,1974-10-17
1974-10-01,1124.0,1974-11-18
1974-11-01,990.0,1974-12-17
1974-12-01,868.0,1975-01-17
1975-01-01,987.0,1975-02-19
