period_start_date,PPIACO,realtime_start_date
1996-12-01,128.800,1997-01-09
1997-01-01,129.700,1997-02-14
1997-02-01,128.700,1997-03-14
1997-03-01,127.700,1997-04-11
1997-04-01,127.200,1997-05-14
1997-05-01,127.300,1997-06-13
1997-06-01,127.200,1997-07-11
1997-07-01,126.900,1997-08-13
1997-08-01,127.200,1997-09-12
1997-09-01,127.500,1997-10-10
1997-10-01,127.800,1997-11-14
1997-11-01,127.800,1997-12-12
1997-12-01,126.700,1998-01-08
1998-01-01,125.500,1998-02-18
1998-02-01,125.100,1998-03-13
1998-03-01,124.500,1998-04-09
1998-04-01,124.700,1998-05-13
1998-05-01,124.900,1998-06-12
1998-06-01,124.800,1998-07-10
1998-07-01,124.800,1998-08-14
1998-08-01,124.200,1998-09-11
1998-09-01,123.900,1998-10-15
1998-10-01,124.000,1998-11-13
1998-11-01,123.500,1998-12-11
1998-12-01,122.700,1999-01-12
1999-01-01,123.200,1999-02-18
1999-02-01,122.400,1999-03-12
1999-03-01,122.800,1999-04-09
1999-04-01,123.500,1999-05-13
1999-05-01,124.500,1999-06-11
1999-06-01,125.100,1999-07-14
1999-07-01,125.500,1999-08-13
1999-08-01,126.800,1999-09-10
1999-09-01,128.000,1999-10-15
1999-10-01,127.900,1999-11-10
1999-11-01,128.400,1999-12-10
1999-12-01,128.000,2000-01-13
2000-01-01,128.300,2000-02-17
2000-02-01,129.800,2000-03-16
2000-03-01,131.000,2000-04-13
2000-04-01,130.700,2000-05-12
2000-05-01,131.600,2000-06-09
2000-06-01,133.300,2000-07-14
2000-07-01,133.200,2000-08-11
2000-08-01,132.900,2000-09-14
2000-09-01,134.500,2000-10-13
2000-10-01,135.100,2000-11-09
2000-11-01,134.600,2000-12-14
2000-12-01,135.700,2001-01-12
2001-01-01,138.800,2001-02-16
2001-02-01,136.500,2001-03-16
2001-03-01,135.900,2001-04-12
2001-04-01,136.300,2001-05-11
2001-05-01,136.600,2001-06-14
2001-06-01,135.700,2001-07-13
2001-07-01,133.900,2001-08-10
2001-08-01,133.500,2001-09-14
2001-09-01,133.400,2001-10-12
2001-10-01,130.200,2001-11-09
2001-11-01,130.100,2001-12-13
2001-12-01,128.000,2002-01-11
2002-01-01,128.500,2002-02-15
2002-02-01,128.600,2002-03-15
2002-03-01,129.900,2002-04-12
