asset,regime_name,n_months,time_weighted_annualized_return,annualized_vol,max_drawdown
spx,High-Rate / Resilient Growth,100,0.11486960591787665,0.1663485444529504,-0.3016979636872267
spx,Late-Cycle / Inflationary Flat Curve,239,0.06919380421949839,0.15563218952892252,-0.44000742853923336
spx,Low-Rate / Steep Curve,218,0.09024799886857715,0.12854951844425924,-0.3600398918489892
spx,Macro-Financial Stress,37,0.09841808599974278,0.2531351303397342,-0.4269778130873866
oil,High-Rate / Resilient Growth,100,-0.07796997028910635,0.26274215290985964,-0.6615408784600587
oil,Late-Cycle / Inflationary Flat Curve,239,0.18976846528176305,0.40253040875389623,-0.5557306025994486
oil,Low-Rate / Steep Curve,218,0.14153290827339093,0.31734323012455057,-0.7244638313340603
oil,Macro-Financial Stress,37,-0.5257878393589057,0.49326685700142403,-0.9126648146614375
bond,High-Rate / Resilient Growth,37,0.049613711022590046,0.08493017112778448,-0.1234703183770931
bond,Late-Cycle / Inflationary Flat Curve,202,0.06201197845737716,0.10690068255222022,-0.3632563479394837
bond,Low-Rate / Steep Curve,218,0.07826811696891078,0.12461181869308864,-0.19312524294269862
bond,Macro-Financial Stress,15,0.2274653302220091,0.1626573281740022,-0.08148318201601101
gold,High-Rate / Resilient Growth,91,-0.034744021170853734,0.14327885528316972,-0.3569468104963882
gold,Late-Cycle / Inflationary Flat Curve,228,0.11102065207950407,0.19395883236866873,-0.5624556311809594
gold,Low-Rate / Steep Curve,218,0.061803309961089514,0.11155931144370917,-0.39708787177605986
gold,Macro-Financial Stress,35,0.016763871234442673,0.21167806950106152,-0.3435574691251395
