asset,regime_name,n_months,time_weighted_annualized_return,annualized_vol,max_drawdown
spx,High-Rate / Resilient Growth,104,0.12770721726671752,0.16435567396808107,-0.3016979636872268
spx,Late-Cycle / Inflationary Flat Curve,239,0.06919380421949839,0.15563218952892252,-0.44000742853923336
spx,Low-Rate / Steep Curve,219,0.09054173790049092,0.12825825432962357,-0.3600398918489892
spx,Macro-Financial Stress,32,0.05463298565310448,0.2699891400153137,-0.4269778130873868
oil,High-Rate / Resilient Growth,104,-0.11493238705927744,0.26600923771108,-0.7416123630986416
oil,Late-Cycle / Inflationary Flat Curve,239,0.18976846528176305,0.40253040875389623,-0.5557306025994486
oil,Low-Rate / Steep Curve,219,0.132446514497631,0.31833035569270146,-0.7244638313340606
oil,Macro-Financial Stress,32,-0.4877822431594224,0.5227029850303149,-0.8536186296875204
bond,High-Rate / Resilient Growth,40,0.07021652283606472,0.08526457562706792,-0.1234703183770931
bond,Late-Cycle / Inflationary Flat Curve,202,0.06201197845737716,0.10690068255222022,-0.3632563479394837
bond,Low-Rate / Steep Curve,219,0.07894943148695721,0.12435251697282705,-0.1931252429426994
bond,Macro-Financial Stress,11,0.1926291119227168,0.1895989899743651,-0.08148318201601112
gold,High-Rate / Resilient Growth,95,-0.028106915721963888,0.14067964201562824,-0.3569468104963882
gold,Late-Cycle / Inflationary Flat Curve,228,0.11102065207950407,0.19395883236866873,-0.5624556311809594
gold,Low-Rate / Steep Curve,219,0.054933868254336105,0.11439106960268088,-0.39708787177605964
gold,Macro-Financial Stress,30,0.048954239455067716,0.21708470630586557,-0.29525918380420335
